building_id,pnu,building_name,legal_dong_name,lot_number,longitude,latitude,underground_parking_status,underground_parking_confirmed,underground_floor_count_gis,indoor_parking_slots_max,main_purpose_name,surface_elevation_m,relative_elevation_m,elevation_match_distance_m,terrain_risk,terrain_observed_flood_rate,terrain_lift_vs_average,distance_to_past_flood_m,inside_past_flood_area,static_risk,rain_trigger_level,rain_trigger_rule
1999344859963701388100000000,4721010100105360004,성누가병원,경상북도 영주시 영주동,536-4,128.6243628,36.8216065,UNDERGROUND_FLOOR_ONLY,0,1,0.0,의료시설,149.3,12.48,2.3,LOW,0.004,0.1,27744.1,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1990344156853703943700000000,4721010100105130001,현대강변타운,경상북도 영주시 영주동,513-1,128.6165337,36.8240157,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,146.46,9.64,3.4,MODERATE,0.052,0.8,28151.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1990344067813703027000000000,4721010100105130001,현대강변타운,경상북도 영주시 영주동,513-1,128.6155187,36.8232035,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,147.63,10.81,1.4,LOW,0.004,0.1,28295.2,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1990344077983703345300000000,4721010100105130001,현대강변타운,경상북도 영주시 영주동,513-1,128.6156386,36.8234887,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,146.1,9.28,3.7,MODERATE,0.052,0.8,28263.4,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1990344160023703507000000000,4721010100105130001,현대강변타운,경상북도 영주시 영주동,513-1,128.6165609,36.8236218,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,154.53,17.72,3.4,LOW,0.004,0.1,28181.0,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1987335835903756159100000000,4721025029101260008,,경상북도 영주시 풍기읍 서부리,126-8,128.5242343,36.8722803,UNDERGROUND_FLOOR_ONLY,0,1,0.0,숙박시설,214.29,26.54,15.0,VERY_LOW,0.0,0.0,33410.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2015169918973937254500000000,4721039021102590000,,경상북도 영주시 부석면 남대리,259,128.662474,37.0447468,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,957.7,UNKNOWN,,,15309.2,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1979345312563703341900000000,4721010300105410020,,경상북도 영주시 하망동,541-20,128.6294706,36.8232968,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,143.85,7.03,11.8,MODERATE,0.052,0.8,27222.1,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1989345071443702061300000000,4721010300104220069,,경상북도 영주시 하망동,422-69,128.626745,36.8221804,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,142.34,5.52,5.5,MODERATE,0.052,0.8,27517.8,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1995336484503759696100000000,4721025028100270005,신세계빌딩,경상북도 영주시 풍기읍 교촌리,27-5,128.5315696,36.8753729,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS,0,1,3.0,제2종근린생활시설,214.47,26.72,21.5,VERY_LOW,0.0,0.0,32527.9,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1992345662023705604500000000,4721010300102760023,코오롱2차아파트,경상북도 영주시 하망동,276-23,128.6334295,36.8252813,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,161.72,24.66,38.7,VERY_LOW,0.0,0.0,26764.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1991350602513741134500000000,4721031022107480000,제1호,경상북도 영주시 이산면 신암리,748,128.6894862,36.8565107,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,301.2,UNKNOWN,,,20158.2,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1996344810753691926900000000,4721010400102570010,,경상북도 영주시 휴천동,257-10,128.6236316,36.813092,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,138.85,2.99,26.0,HIGH,0.148,2.3,28497.5,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
2003343691223706219800000000,4721010500114880000,,경상북도 영주시 가흥동,1488,128.6113596,36.8261366,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,149.35,12.53,5.9,LOW,0.004,0.1,28393.2,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1996336546113768828300000000,4721025023105740000,동양대학교(본관),경상북도 영주시 풍기읍 산법리,574,128.5324246,36.88359,UNDERGROUND_FLOOR_ONLY,0,1,0.0,교육연구시설,250.79,52.53,4.7,VERY_LOW,0.0,0.0,32049.5,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1999336283683769746500000000,4721025023105740000,교수연구동,경상북도 영주시 풍기읍 산법리,574,128.5294984,36.884455,UNDERGROUND_FLOOR_ONLY,0,1,0.0,교육연구시설,249.44,51.18,23.9,VERY_LOW,0.0,0.0,32304.8,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1987345152033697958800000000,4721010400106760023,,경상북도 영주시 휴천동,676-23,128.6275693,36.8184725,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,139.84,3.99,13.2,HIGH,0.148,2.3,27760.9,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
1991345599243705352700000000,4721010300102760001,코오롱1차아파트,경상북도 영주시 하망동,276-1,128.632721,36.8250639,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,158.99,21.93,34.1,VERY_LOW,0.0,0.0,26834.5,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2011331785303773454300000000,4721025032104300000,풍기온천 휴양단지,경상북도 영주시 풍기읍 창락리,430,128.4791196,36.888433,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,310.15,59.93,5.7,VERY_LOW,0.0,0.0,37313.1,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2016164307283687467200000000,4721010500110220005,,경상북도 영주시 가흥동,1022-5,128.6005754,36.819476,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,180.74,44.89,56.9,VERY_LOW,0.0,0.0,29768.1,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1984344882013704523700000000,4721010100103650014,,경상북도 영주시 영주동,365-14,128.6246692,36.8244272,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,142.79,5.98,1.4,MODERATE,0.052,0.8,27492.3,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1981344409693705934000000000,4721010100105050006,,경상북도 영주시 영주동,505-6,128.6194042,36.8257699,UNDERGROUND_FLOOR_ONLY,0,1,0.0,숙박시설,144.36,7.54,25.4,MODERATE,0.052,0.8,27789.7,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2009344648453694350300000000,4721010400106420328,,경상북도 영주시 휴천동,642-328,128.6218594,36.8152994,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS,0,1,11.0,숙박시설,141.34,5.49,5.7,MODERATE,0.052,0.8,28447.3,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2019157361833722747400000000,4721036023104180001,,경상북도 영주시 봉현면 대촌리,418-1,128.5225348,36.8509774,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,216.98,32.06,37.4,VERY_LOW,0.0,0.0,34680.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1995166149053671336200000000,4721010400104580001,,경상북도 영주시 휴천동,458-1,128.6212887,36.8050076,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,151.59,20.21,5.5,VERY_LOW,0.0,0.0,29343.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2016165583953662763600000000,4721010600100550009,,경상북도 영주시 문정동,55-9,128.614995,36.7972622,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,139.09,12.4,61.1,LOW,0.004,0.1,30450.2,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2017164791843687692200000000,4721010500115900001,경상북도교육청 영주선비도서관,경상북도 영주시 가흥동,1590-1,128.6060047,36.8196963,UNDERGROUND_FLOOR_ONLY,0,1,0.0,교육연구시설,182.5,46.64,6.7,VERY_LOW,0.0,0.0,29318.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2016123116582914236200000000,4715011500104080002,,경상북도 김천시 지좌동,408-2,128.1466312,36.1202988,CONFIRMED_BASEMENT_PARKING_USE,1,1,18.0,공동주택,83.16,26.08,7.7,VERY_LOW,0.0,0.0,969.1,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2021166082593699789600000000,4721010100101110006,,경상북도 영주시 영주동,111-6,128.6204164,36.8306437,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS,0,1,2.0,단독주택,173.44,34.57,33.8,VERY_LOW,0.0,0.0,27326.2,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1986344392853688845000000000,4721010400106421013,,경상북도 영주시 휴천동,642-1013,128.6188917,36.8103799,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,138.41,2.55,10.1,HIGH,0.148,2.3,29073.0,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
1998343420623710516700000000,4721010500104700003,,경상북도 영주시 가흥동,470-3,128.6084089,36.8300483,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,148.11,8.42,82.2,MODERATE,0.052,0.8,28329.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1999344445533683689200000000,4721010400104620002,,경상북도 영주시 휴천동,462-2,128.6193842,36.8057279,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,141.68,9.97,36.2,MODERATE,0.052,0.8,29421.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1993336022433754356200000000,4721025021100150001,,경상북도 영주시 풍기읍 성내리,15-1,128.5262933,36.8706295,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,208.75,21.0,36.4,VERY_LOW,0.0,0.0,33286.5,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1984344852233696000800000000,4721010400106580039,,경상북도 영주시 휴천동,658-39,128.624174,36.8167554,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,138.64,2.78,1.8,HIGH,0.148,2.3,28154.9,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
1993330693803777710600000000,4721025033102070001,,경상북도 영주시 풍기읍 수철리,207-1,128.4669524,36.8924186,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,180.6,UNKNOWN,,,38437.2,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1940336477493762386100000000,4721025028100120003,,경상북도 영주시 풍기읍 교촌리,12-3,128.5315393,36.8777969,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,101.5,UNKNOWN,,,32413.0,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1978165834373681452800000000,4721010500114620003,,경상북도 영주시 가흥동,1462-3,128.6177174,36.8141125,GIS_BASEMENT_CANDIDATE_NOT_CONFIRMED_BY_TITLE,0,1,0.0,제1종근린생활시설,138.31,2.45,1.8,HIGH,0.148,2.3,28855.6,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
