approval_year,building_use_name,existed_at_flood,first_flood_year,gis_building_id,last_flood_year,latitude,legal_dong_code,longitude,pnu,register_rows_on_parcel,underground_floor_count,underground_parking_confirmed,underground_parking_evidence,underground_parking_status
1992,단독주택,YES,2022,1992191834914453999400000000,2022,37.5107818,1156011800,126.9084427,1156011800100380005,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1984,제2종근린생활시설,YES,2022,1984190906634436057000000000,2022,37.4946141,1156013300,126.89796,1156013300107130007,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1974,제2종근린생활시설,YES,2022,1974198125374418294400000000,2022,37.4786633,1159010700,126.9796016,1159010700110320045,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1995,단독주택,YES,2022,1995201438454525784200000000,2022,37.5754882,1111017500,127.0170751,1111017500100590048,1,1,Y,지하 지하층 / 다가구주택,CONFIRMED_BASEMENT_PARKING_USE
2000,제1종근린생활시설,YES,2022,2000191050274448873400000000,2022,37.5061591,1156011800,126.8995698,1156011800102500019,1,1,Y,지하 지1 / 기타제1종근린생활시설,CONFIRMED_BASEMENT_PARKING_USE
2018,단독주택,YES,2022,2018193821724440009300000000,2022,37.4982037,1159010200,126.9309203,1159010200103190011,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1969,제1종근린생활시설,YES,2022,1969191439654430506600000000,2022,37.4896162,1156013300,126.9040028,1156013300109910007,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1971,공동주택,YES,2022,1971191591484464895700000000,2022,37.5206169,1156010600,126.9056725,1156010600100240000,1,2,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1992,제1종근린생활시설,YES,2022,1992194183944426537200000000,2022,37.4860697,1162010100,126.9350329,1162010100109600013,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1991,공동주택,YES,2022,1991209833144445574800000000,2022,37.5031819,1171010400,127.1119937,1171010400100940022,2,1,Y,지하 지1 / 연립주택,CONFIRMED_BASEMENT_PARKING_USE
1993,제1종근린생활시설,YES,2022,1993202531514429254200000000,2022,37.488523,1165010800,127.0294132,1165010800113410004,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1997,제2종근린생활시설,YES,2022,1997204425714484257800000000,2022,37.5380556,1120011400,127.0508674,1120011400103030000,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2004,공동주택,YES,2022,2004189999884431320700000000,2022,37.4903419,1153010200,126.8877192,1153010200107300002,1,1,Y,지하 지1층 / 주차장,CONFIRMED_BASEMENT_PARKING_USE
2017,공동주택,YES,2022,2017189566484422872900000000,2022,37.4827141,1154510100,126.8828067,1154510100107770000,1,1,Y,지하 지1층 / 소매점,CONFIRMED_BASEMENT_PARKING_USE
1983,제1종근린생활시설,YES,2022,1983191395824445520900000000,2022,37.5031406,1156013200,126.9034814,1156013200103550056,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1992,단독주택,YES,2022,1992205503144488326200000000,2022,37.5417365,1120011500,127.0630555,1120011500102750039,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1989,공동주택,YES,2022,1989204961434486116300000000,2022,37.5397482,1120011500,127.0569232,1120011500102690107,1,1,N,,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS
2004,교육연구시설,YES,2022,2004198805184432811500000000,2022,37.491734,1165010100,126.9872756,1165010100107920004,1,2,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1998,제2종근린생활시설,YES,2022,1998191128814433913800000000,2022,37.4926883,1156013300,126.9004857,1156013300107010001,1,1,Y,지하 지1 / 기타제1종근린생활시설,CONFIRMED_BASEMENT_PARKING_USE
1987,단독주택,YES,2022,1987190834714433450600000000,2022,37.4922682,1156013300,126.8971494,1156013300110560041,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1990,제2종근린생활시설,YES,2022,1990210561924438337200000000,2022,37.4966477,1171010700,127.1202263,1171010700100750013,1,1,N,,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS
2007,제2종근린생활시설,YES,2022,2007202004384452007800000000,2022,37.5090318,1168010800,127.0234593,1168010800101440008,1,2,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2010,단독주택,YES,2022,2010191881194427765600000000,2022,37.4871496,1159010900,126.9089898,1159010900106940007,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1994,제2종근린생활시설,YES,2022,1994191148554430824000000000,2022,37.4899084,1156013300,126.9007084,1156013300110250094,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1988,업무시설,YES,2022,1988202820924434911700000000,2022,37.4936208,1168010100,127.0326875,1168010100108330002,1,2,Y,지하 지하1층 / 기타일반업무시설,CONFIRMED_BASEMENT_PARKING_USE
1991,업무시설,YES,2022,1991204114994418217700000000,2022,37.4785903,1168010300,127.0473143,1168010300112310000,1,2,Y,지하 지하2층 / 기타일반업무시설,CONFIRMED_BASEMENT_PARKING_USE
1990,단독주택,YES,2022,1990192022534441440800000000,2022,37.499471,1156013200,126.9105724,1156013200137030000,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1983,제2종근린생활시설,YES,2022,1983202183984442361800000000,2022,37.5003395,1165010800,127.0254858,1165010800113070029,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1998,제2종근린생활시설,YES,2022,1998202465994434624100000000,2022,37.4933587,1165010800,127.0286722,1165010800113300013,1,2,Y,지하 지2 / 기타일반업무시설,CONFIRMED_BASEMENT_PARKING_USE
1986,단독주택,YES,2022,1986191593404422514000000000,2022,37.482415,1162010200,126.9057409,1162010200116580007,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1988,제2종근린생활시설,YES,2022,1988189696174422386600000000,2022,37.4822428,1154510100,126.8842518,1154510100100440001,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
