objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
8673,8157.600721255,438.2887342001198,51768,0500,20120917,저지대로인한 침수,0.435,제16호태풍(산바),0800,20120918,1,2012,770,47,47130
8674,95540.100335505,1537.8725511650819,311856,1400,20120917,제방붕괴로인한저지대침수,1.499,16호태풍산바로인한침수,1500,20120918,3,2012,979,47,47150
8675,55177.82023204,1457.5300929930825,311856,1400,20120917,제방붕괴로인한저지대침수,1.445,16호태풍산바로인한침수,1500,20120918,3,2012,989,47,47150
8676,72245.07336309,1526.69634710373,311856,1400,20120917,제방붕괴로인한저지대침수,1.77,16호태풍산바로인한침수,1500,20120918,4,2012,1017,47,47150
8677,1654.25670476,348.0777130265504,311856,1400,20120917,제방붕괴로인한저지대침수,1.483,16호태풍산바로인한침수,1500,20120918,3,2012,997,47,47150
8683,261252.060617655,2376.6397849955088,470808,1300,20120917,집중호우,0.378,제16호태풍 산바,1000,20120918,1,2012,683,47,47111
8684,65358.901743925,1191.0584340019145,51768,0500,20120917,저지대로인한 침수,1.596,제16호태풍(산바),0800,20120918,4,2012,767,47,47130
8685,3685.09327537,401.0556844267882,69708,0500,20120917,제방유실로인한 침수,0.744,제16호태풍(산바),0800,20120918,2,2012,760,47,47130
8686,48315.12441075,1085.6941292767772,51768,0500,20120917,저지대로인한 침수,1.099,제16호태풍(산바),0800,20120918,3,2012,768,47,47130
8687,71600.56864077,1137.1816404217918,51768,0500,20120917,저지대로인한 침수,0.998,제16호태풍(산바),0800,20120918,2,2012,759,47,47130
8688,11672.734979605,734.6939295337902,69708,0500,20120917,제방유실로인한 침수,2.347,제16호태풍(산바),0800,20120918,5,2012,769,47,47130
8689,43658.018539035,1176.2421345524008,69708,0500,20120917,제방유실로인한 침수,2.604,제16호태풍(산바),0800,20120918,5,2012,763,47,47130
